Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00079
1401AB	0.441853385	0.000121773	0.344739406	0.177545056	0.001095957	0	0.000365319	0.000365319	0	0	0	0.000669752	0	0	0	0.000913298	0.000669752	0	0	0.018387725	6.09E-05	0	0.000669752	0	0	0	0	0	0	0	0	0	0.001461276	6.09E-05	0	0.00018266	6.09E-05	0	0	0.00018266	0.000243546	0	0.000243546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1401A1	0.172746043	0	0.684445974	0.093501131	0.000393275	0	0.000294956	0	0	0	0	0	0	0	0	0	0.001327303	0	0	0.041293875	0.000294956	0	0.000294956	0	0	0	0	0	0	0	0	0	0.000639072	0	0	0	0	0	0	0	4.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1401A2	0.394004624	0	0.408753887	0.102208403	0.000717532	0	0.003986287	0.000239177	0	0	0	0.001036435	0	7.97E-05	0	0.002312047	0.012596667	0	0.000159451	0.025990592	0.001993144	0	0.001753966	0	0	0	0	0	0	0	0.000159451	0.000318903	0.003348481	0.000318903	0	0.000239177	0.000159451	0.001036435	0	7.97E-05	0.000478354	0	0.000478354	0	0	0	0	0	0	0.000159451	0	0	0	0	0	0	0
1401A3	0.342196241	0.002640015	0.460054057	0.060217487	0.00201144	0	0.010120058	0	0	0	0	0.012445785	0	0	0	0.007857188	0.004840028	0	0	0.044880256	0.009365768	0.00025143	0.00326859	0	0	0	0	0	0	0	0.000377145	0	0.01106292	0.003205733	0	6.29E-05	0.000440003	0.001822868	0	0	0.000817148	0.000691433	0.000942863	0	0	0	0	0	0.000628575	0	0	0	0	0	0	0	0
F7086B	0	0.120381587	0.18970321	6.06E-05	0	0.172168383	0.088067838	0.049727438	0.03367656	0.071078134	0.060266505	0.005663234	0.000302847	0	0	0.004815263	0.08646275	0	0	0	0.01399152	0.002392489	0.000847971	0.000151423	0.013355542	0	0.007086614	0.020956996	0.004300424	0	0.000363416	0	0.002574197	0.010205936	0	0.0037553	0.00608722	0.00096911	0.000363416	0	0.000878256	6.06E-05	0.000181708	0.002967898	0	0	0	0.000211993	0	0.000666263	0	0	0	0	0	0	0
F70861	0.962315485	0.007583213	0.000868307	0.000694645	0.000115774	5.79E-05	0.000115774	0.000520984	0	0.000115774	5.79E-05	0.000115774	0	0	0	0.000694645	0.000173661	0	0	0.001331404	0	0	0	0	0	0	5.79E-05	0	0	0.021128799	0	0	0.000173661	0	0	0	0	0	0	0	0.00040521	0	0	0.002431259	0	0	0	0	0	0	0	0	0	0	0	0	0
F70862	0.961268048	0.003389831	0.001067169	0.00094162	0.000502197	0	0	0.000313873	0	6.28E-05	0	0.00081607	0	0	0	0.000376648	0.001067169	0	0	0.002636535	0	0	0.000125549	0	0	0	6.28E-05	0	0	0.014249843	0	0	0.000125549	0	0	0	0	0	6.28E-05	0	0.000188324	0	0	0.005963591	0	0	0	0	0	0	0	0.000251099	0	0	0	0	0
F70863	0.886879035	0.010991943	0.004855664	0.003468331	0.001067179	0.000106718	0.000480231	0.000800384	0.000106718	0.001707486	5.34E-05	0	0	0	0.000373513	0.000747025	0.001227256	0	0	0.021823809	0.000213436	0	0	0	5.34E-05	0	0.000106718	0.000160077	0	0.044234566	0.000320154	0	0	0.000266795	0.000160077	0.000586948	0	0.000266795	0	0	5.34E-05	0	0.000106718	0.00859079	0	0.000533589	0	0	0	0	0	0	0	0	0	0	0
3691FB	0.917428737	0.001828969	0.00312263	0.003078021	0.005576125	0.000178436	0.001472097	0.000223045	0.000401481	0.000223045	0	0.007449703	0.000579917	0	0.000178436	0.003256457	0.000312263	0	0	0.002275059	0.000802962	0.000535308	0.000535308	0	0.00044609	0	8.92E-05	0	0	0.025248695	0.000133827	0	0.003167239	0.002899585	0	0.000535308	0.000624526	0.000624526	8.92E-05	0	4.46E-05	0	0.000758353	0.009278672	0	0	0	4.46E-05	4.46E-05	0.001026007	0	0	0	0	0	0	0
3691F1	0	0.027842546	0.147935811	0	0	0.486545056	0.174571389	0.016595803	0.048333562	0.002605953	0.044493211	0.000438897	0.000192018	0	5.49E-05	2.74E-05	2.74E-05	0	0.001618434	0	0.001124674	0.000164586	0	0	0.017309011	2.74E-05	0.003319161	0.004032369	0.000137155	0	0.000329173	0	0.00024688	0.003483747	0	0.001700727	0.000438897	0	0	0	0	2.74E-05	0	0	0	0	0	0	0	0.005019888	0	0	0	0	0	0	0
